clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
BROC6.41/4X6,BROC6.41/4X6,"BROCA P/ROTOMARTILLO SDS  6.4mm 1/4"" X  6"" TC0525 TOOLCRAFT","BROCA P/ROTOMARTILLO SDS  6.4mm 1/4"" X  6"" TC0525 TOOLCRAFT",25.32,,,100,100,20,60
BROC9.53/8X6,BROC9.53/8X6,"BROCA P/ROTOMARTILLO SDS  9.5mm 3/8"" X  6"" TC0531 TOOLCRAFT","BROCA P/ROTOMARTILLO SDS  9.5mm 3/8"" X  6"" TC0531 TOOLCRAFT",26.96,,,100,100,20,60
BROC12.71/2X6,BROC12.71/2X6,"BROCA P/ROTOMARTILLO SDS 12.7mm 1/2"" X  6"" TC0537 TOOLCRAFT","BROCA P/ROTOMARTILLO SDS 12.7mm 1/2"" X  6"" TC0537 TOOLCRAFT",32.64,,,100,100,20,60
BROCHALABUENA2,BROCHALABUENA2,"BROCHA LA BUENA 2"" BYP BBU20","BROCHA LA BUENA 2"" BYP BBU20",13.45,,,100,100,20,60
BROCHALA BUENA3,BROCHALA BUENA3,"BROCHA LA BUENA 3"" BYP BBU30","BROCHA LA BUENA 3"" BYP BBU30",19.22,,,100,100,20,60
BUSHBRO,BUSHBRO,BUSHING BRONZE 5/16 X 1/2 X ½,BUSHING BRONZE 5/16 X 1/2 X ½,29.64,,,100,100,20,60
CABLEM12,CABLEM12,CABLE M12HEMBRA 4POLOS,CABLE M12HEMBRA 4POLOS,353.56,,,100,100,20,60
CABLTH12VN,CABLTH12VN,CABLE THWN - THHN #12 VIAKON NEGRO,CABLE THWN - THHN #12 VIAKON NEGRO,8.12,,,100,100,20,60
CABL#12VER,CABL#12VER,CABLE THWN - THHN #12 VIAKON VERDE,CABLE THWN - THHN #12 VIAKON VERDE,8.12,,,100,100,20,60
CATW12BLAN,CATW12BLAN,CABLE THWN - THHN#12 VIAKON BLANCO,CABLE THWN - THHN#12 VIAKON BLANCO,8.12,,,100,100,20,60
CABUSRUD3X12,CABUSRUD3X12,CABLE USO RUDO ST ARGOS  3X12,CABLE USO RUDO ST ARGOS  3X12,36.46,,,100,100,20,60
CABLUSRUD4X10,CABLUSRUD4X10,CABLE USO RUDO ST ARGOS  4 X10,CABLE USO RUDO ST ARGOS  4 X10,109.91,,,100,100,20,60
CABUSR3X10,CABUSR3X10,CABLE USO RUDO ST ARGOS 3 X 10,CABLE USO RUDO ST ARGOS 3 X 10,80.9,,,100,100,20,60
CAME2X4,CAME2X4,CAJA METALICA 2 X 4 SALIDA 1/2 Y 3/4 ARGOS,CAJA METALICA 2 X 4 SALIDA 1/2 Y 3/4 ARGOS,9.72,,,100,100,20,60
CAMETA2X4,CAMETA2X4,CAJA METEALICA 2 X 4 SALIDA 1/2     USADHB-1-50- LH 050096,CAJA METEALICA 2 X 4 SALIDA 1/2     USADHB-1-50- LH 050096,17.99,,,100,100,20,60
CALBOL9DIG,CALBOL9DIG,CALCULADORA DE BOLSILLO #6 DE 8 DIG.,CALCULADORA DE BOLSILLO #6 DE 8 DIG.,37.61,,,100,100,20,60
CARD6X11/8,CARD6X11/8,"CARDA P/ESMERIL 6"" X 1 1/8"" CA-106","CARDA P/ESMERIL 6"" X 1 1/8"" CA-106",183.6,,,100,100,20,60
CPPVCO32,CPPVCO32,CEMENTO P/PVC GRIS CED-80 OATEY 32 OZ,CEMENTO P/PVC GRIS CED-80 OATEY 32 OZ,208.71,,,100,100,20,60
CEPMADBRO,CEPMADBRO,CEPILLO T.DENTAL DE MADERA BRONCE,CEPILLO T.DENTAL DE MADERA BRONCE,22.68,,,100,100,20,60
CHALE,CHALE,CHALECO FLUORECENTE NARANJA C/RAYA REFLEJANTES,CHALECO FLUORECENTE NARANJA C/RAYA REFLEJANTES,240,,,100,100,20,60
CHAFLOAM,CHAFLOAM,CHALECO FLUORECENTE VERDE C/RAYA REFLEJANTES JYRS AM,CHALECO FLUORECENTE VERDE C/RAYA REFLEJANTES JYRS AM,240,,,100,100,20,60
CHAPFN615,CHAPFN615,CHAPA C/LLAVE FANAL FN615-BALA (90450-019),CHAPA C/LLAVE FANAL FN615-BALA (90450-019),110.3,,,100,100,20,60
CINRAF914,CINRAF914,"CINTA ALUMINIO 2"" X 50 YDS. SHURTAPE LH AF914","CINTA ALUMINIO 2"" X 50 YDS. SHURTAPE LH AF914",183.9,,,100,100,20,60
