clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
GUANTENYLON10,GUANTENYLON10,GUANTE DE NYLON C/ POLIURETANO NEGRO #10,GUANTE DE NYLON C/ POLIURETANO NEGRO #10,11.65,,,100,100,20,60
GUANTENYLON6,GUANTENYLON6,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,11.65,,,100,100,20,60
GUANTENYLON7,GUANTENYLON7,GUANTE DE NYLON C/ POLIURETANO NEGRO #7,GUANTE DE NYLON C/ POLIURETANO NEGRO #7,11.65,,,100,100,20,60
GUANTENYLON8,GUANTENYLON8,GUANTE DE NYLON C/ POLIURETANO NEGRO #8,GUANTE DE NYLON C/ POLIURETANO NEGRO #8,11.65,,,100,100,20,60
GUANTENYLON9,GUANTENYLON9,GUANTE DE NYLON C/ POLIURETANO NEGRO #9,GUANTE DE NYLON C/ POLIURETANO NEGRO #9,11.65,,,100,100,20,60
GUANYL10,GUANYL10,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #10,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #10,17.62,,,100,100,20,60
GUANTNEG#7,GUANTNEG#7,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #7,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #7,17.62,,,100,100,20,60
GUANNNP#8,GUANNNP#8,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #8,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #8,17.62,,,100,100,20,60
GUANT9Q,GUANT9Q,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #9,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #9,17.62,,,100,100,20,60
GUANTENYLON6,GUANTENYLON6,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,GUANTE DE NYLON C/ POLIURETANO NEGRO #6,14.61,,,100,100,20,60
GUANTENYLON7,GUANTENYLON7,GUANTE DE NYLON C/ POLIURETANO NEGRO #7,GUANTE DE NYLON C/ POLIURETANO NEGRO #7,14.61,,,100,100,20,60
GUANTENYLON8,GUANTENYLON8,GUANTE DE NYLON C/ POLIURETANO NEGRO #8,GUANTE DE NYLON C/ POLIURETANO NEGRO #8,14.61,,,100,100,20,60
GUANTENYLON9,GUANTENYLON9,GUANTE DE NYLON C/ POLIURETANO NEGRO #9,GUANTE DE NYLON C/ POLIURETANO NEGRO #9,14.61,,,100,100,20,60
GUANN10S,GUANN10S,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #10 SUK-811,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #10 SUK-811,17.62,,,100,100,20,60
GUANTC/NIT,GUANTC/NIT,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #7 SUK-811,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #7 SUK-811,17.62,,,100,100,20,60
GUANTN8S,GUANTN8S,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #8 SUK-811,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #8 SUK-811,17.62,,,100,100,20,60
GUANT9NSUK,GUANT9NSUK,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #9 SUK-811,GUANTE DE NYLON NEGRO C/ NITRILO NEGRO PAR #9 SUK-811,17.62,,,100,100,20,60
GUANNY6,GUANNY6,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #6 51-811,GUANTE DE NYLON NEGRO CON NITRILO NEGRO PAR #6 51-811,17.62,,,100,100,20,60
HEATSHRI,HEATSHRI,"HEAT SHRINK TUBERIA FLEXIBLE SFTW-203 1"" (24/8) BKR LS OF 30.5M ID TE1000-45224","HEAT SHRINK TUBERIA FLEXIBLE SFTW-203 1"" (24/8) BKR LS OF 30.5M ID TE1000-45224",14.38,,,100,100,20,60
#MKPHER,#MKPHER,HELLERMAN TYTON #MK9 LK PISTOLA,HELLERMAN TYTON #MK9 LK PISTOLA,"2,790.06",,,100,100,20,60
HERR2200,HERR2200,"HERRAJE P/WC 10"" #2200 FAMA","HERRAJE P/WC 10"" #2200 FAMA",47.9,,,100,100,20,60
HRAF1K,HRAF1K,HILO DE RAFIA (BOLA DE 1KG),HILO DE RAFIA (BOLA DE 1KG),110,,,100,100,20,60
HOJIMP01,HOJIMP01,HOJAS PARA IMPRESORA (CAJA) NEXTEP,HOJAS PARA IMPRESORA (CAJA) NEXTEP,737.4,,,100,100,20,60
PEV-1/4,PEV-1/4,INTERUPTOR DE PRESION FESTO PEV-1/4-B,INTERUPTOR DE PRESION FESTO PEV-1/4-B,633.95,,,100,100,20,60
JGOLLA4972,JGOLLA4972,JGO DE LLAVE ALLEN HEX. L 13PZ. #4972R,JGO DE LLAVE ALLEN HEX. L 13PZ. #4972R,244.41,,,100,100,20,60
JGOLLA4995,JGOLLA4995,JGO DE LLAVE ALLEN BOLA STD 13PZ #4995 URREA,JGO DE LLAVE ALLEN BOLA STD 13PZ #4995 URREA,266.1,,,100,100,20,60
LAPADH22G,LAPADH22G,LAPIZ ADHESIVO  (22 GRAMOS),LAPIZ ADHESIVO  (22 GRAMOS),23.44,,,100,100,20,60
SEGURIDADLENTES,SEGURIDADLENTES,LENTE DE SEGURIDAD CLARO,LENTE DE SEGURIDAD CLARO,14.19,,,100,100,20,60
5737X-86LIJA,5737X-86LIJA,LIJA BANDA FANDELI X-86 #60 6X1.22M,LIJA BANDA FANDELI X-86 #60 6X1.22M,250,,,100,100,20,60
LIP/A120H,LIP/A120H,LIJA P/AGUA A-99  G- 120 HOJA,LIJA P/AGUA A-99  G- 120 HOJA,7.7,,,100,100,20,60
LIJG220PZK2B,LIJG220PZK2B,LIJA P/AGUA A-99  G- 220 HOJA,LIJA P/AGUA A-99  G- 220 HOJA,6.35,,,100,100,20,60
LIJAA99G400,LIJAA99G400,LIJA P/AGUA A-99  G- 400 HOJA,LIJA P/AGUA A-99  G- 400 HOJA,6.35,,,100,100,20,60
LIJC99,LIJC99,LIJA P/AGUA C-99  G-120 HOJA,LIJA P/AGUA C-99  G-120 HOJA,7.7,,,100,100,20,60
LIJAC99G150,LIJAC99G150,LIJA P/AGUA C-99  G-150 HOJA,LIJA P/AGUA C-99  G-150 HOJA,6.52,,,100,100,20,60
LIPESME,LIPESME,LIJA P/ESMERIL J-73 G- 80 MEDI. HOJA,LIJA P/ESMERIL J-73 G- 80 MEDI. HOJA,11.45,,,100,100,20,60
LIJESMJ73F,LIJESMJ73F,LIJA P/ESMERIL J-73 G-120 FINO HOJA,LIJA P/ESMERIL J-73 G-120 FINO HOJA,10.66,,,100,100,20,60
LIMMT02,LIMMT02,"LIMA PLANA MUZA  8""  LPM-8 TRUPER 15155","LIMA PLANA MUZA  8""  LPM-8 TRUPER 15155",41.99,,,100,100,20,60
"LIMAPLANTRU6""","LIMAPLANTRU6""","LIMA PLANA MUZA 6"" LMP-6 TRUPER","LIMA PLANA MUZA 6"" LMP-6 TRUPER",29.27,,,100,100,20,60
"LIMAREDNBAST8""","LIMAREDNBAST8""","LIMA REDONDA BASTARDA 8"" LRB-8 TRUPER","LIMA REDONDA BASTARDA 8"" LRB-8 TRUPER",41.99,,,100,100,20,60
MOLD118,MOLD118,LIMPIADOR DE MOLDE ( 118313 ),LIMPIADOR DE MOLDE ( 118313 ),115.31,,,100,100,20,60
LIMPI10210,LIMPI10210,LIMPIADOR P/PVC MORADO P68 32021 TOWELD-ON 10210,LIMPIADOR P/PVC MORADO P68 32021 TOWELD-ON 10210,257.65,,,100,100,20,60
LLAV12712,LLAV12712,LLAVE AJUSTABLE CROMADA 12  #712  URREA,LLAVE AJUSTABLE CROMADA 12  #712  URREA,294.93,,,100,100,20,60
LLAV#12161/2,LLAV#12161/2,LLAVE COMB.STD. #1216 1/2,LLAVE COMB.STD. #1216 1/2,114.38,,,100,100,20,60
LLAV#1218,LLAV#1218,LLAVE COMB.STD. #1218 9/16,LLAVE COMB.STD. #1218 9/16,85.97,,,100,100,20,60
LLAV1224,LLAV1224,LLAVE COMB.STD. #1224  3/4  URREA,LLAVE COMB.STD. #1224  3/4  URREA,121.99,,,100,100,20,60
LOC495-03,LOC495-03,LOCTITE 495-03 20 GRS.,LOCTITE 495-03 20 GRS.,244.77,,,100,100,20,60
MANANT02,MANANT02,MANGA KEVLAR ANTICORTANTE C/ORIFICIO EN PULGAR,MANGA KEVLAR ANTICORTANTE C/ORIFICIO EN PULGAR,69.52,,,100,100,20,60
MARAZ40001,MARAZ40001,MARCADOR AZOR SIGNAL XTRA NEGRO 40001,MARCADOR AZOR SIGNAL XTRA NEGRO 40001,14.91,,,100,100,20,60
MARCAEA,MARCAEA,MARCADOR DE AGUA EXPO AZUL,MARCADOR DE AGUA EXPO AZUL,14.65,,,100,100,20,60
MARAEN10,MARAEN10,MARCADOR DE AGUA EXPO NEGRO,MARCADOR DE AGUA EXPO NEGRO,14.65,,,100,100,20,60
EXPOROJ,EXPOROJ,MARCADOR DE AGUA EXPO ROJO,MARCADOR DE AGUA EXPO ROJO,14.65,,,100,100,20,60
EXPOVER,EXPOVER,MARCADOR DE AGUA EXPO VERDE,MARCADOR DE AGUA EXPO VERDE,14.65,,,100,100,20,60
UMARKAZUL,UMARKAZUL,MARCADOR PERMANENTE U MARK A20 AZUL,MARCADOR PERMANENTE U MARK A20 AZUL,50,,,100,100,20,60
UMARKBLANCO,UMARKBLANCO,MARCADOR PERMANENTE U MARK A20 BLANCO,MARCADOR PERMANENTE U MARK A20 BLANCO,50,,,100,100,20,60
UMARKNARANJA,UMARKNARANJA,MARCADOR PERMANENTE U MARK A20 NARANJA,MARCADOR PERMANENTE U MARK A20 NARANJA,50,,,100,100,20,60
UMARKNGOA20,UMARKNGOA20,MARCADOR PERMANENTE U MARK A20 NEGRO,MARCADOR PERMANENTE U MARK A20 NEGRO,50,,,100,100,20,60
SHAAZUPFINO,SHAAZUPFINO,MARCADOR SHARPIE PERM. P.FINO AZUL,MARCADOR SHARPIE PERM. P.FINO AZUL,14.21,,,100,100,20,60
SHANEGPFINO,SHANEGPFINO,MARCADOR SHARPIE PERM. P.FINO NEGRO,MARCADOR SHARPIE PERM. P.FINO NEGRO,14.21,,,100,100,20,60
SHAROJPFINO,SHAROJPFINO,MARCADOR SHARPIE PERM. P.FINO ROJO,MARCADOR SHARPIE PERM. P.FINO ROJO,14.21,,,100,100,20,60
MARCSHAR,MARCSHAR,MARCADOR SHARPIE PLATEADO,MARCADOR SHARPIE PLATEADO,16.92,,,100,100,20,60
MARCSIG01,MARCSIG01,MARCADOR SIGNAL P.F NEGRO,MARCADOR SIGNAL P.F NEGRO,14.33,,,100,100,20,60
MARCSIGAZ,MARCSIGAZ,MARCADOR SIGNAL P.F. AZUL,MARCADOR SIGNAL P.F. AZUL,14.33,,,100,100,20,60
UNIPAMA,UNIPAMA,MARCADOR UNI-PAINT AMARILLO,MARCADOR UNI-PAINT AMARILLO,50,,,100,100,20,60
MARUNIPL,MARUNIPL,MARCADOR UNI-PAINT AZUL,MARCADOR UNI-PAINT AZUL,50,,,100,100,20,60
MARUNPNEG,MARUNPNEG,MARCADOR UNI-PAINT NEGRO,MARCADOR UNI-PAINT NEGRO,50,,,100,100,20,60
MARCAUNIPP,MARCAUNIPP,MARCADOR UNI-PAINT PLATA,MARCADOR UNI-PAINT PLATA,50.13,,,100,100,20,60
MARUNIPA,MARUNIPA,MARCADOR UNI-PAINT VERDE,MARCADOR UNI-PAINT VERDE,50,,,100,100,20,60
MARCAMA,MARCAMA,MARCATEXTO AMARILLO,MARCATEXTO AMARILLO,9.52,,,100,100,20,60
MARCTXT,MARCTXT,MARCATEXTO VERDE,MARCATEXTO VERDE,9.52,,,100,100,20,60
MASCCK3020,MASCCK3020,MASCARILLA CK302017-BFE95 COPERMEX,MASCARILLA CK302017-BFE95 COPERMEX,10.5,,,100,100,20,60
MASDES810,MASDES810,MASCARILLA DESECHABLE,MASCARILLA DESECHABLE,2.35,,,100,100,20,60
MAS5P,MAS5P,MASCARILLA DESECHABLE TC3306 TOOLCFAFT PAQ CON 5 PZAS,MASCARILLA DESECHABLE TC3306 TOOLCFAFT PAQ CON 5 PZAS,11.75,,,100,100,20,60
MASCDESTOL,MASCDESTOL,MASCARILLA DESECHABLE TOOLCFAFT,MASCARILLA DESECHABLE TOOLCFAFT,2.35,,,100,100,20,60
MACAHI1CABO2KILOS,MACAHI1CABO2KILOS,MECAHILO 1 CABO (2 KILOS),MECAHILO 1 CABO (2 KILOS),150,,,100,100,20,60
MACAHILO,MACAHILO,MECAHILO DE 1 CABO,MECAHILO DE 1 CABO,150,,,100,100,20,60
MIC/PCAR,MIC/PCAR,MICA P/CARPETA PRONOSA #210,MICA P/CARPETA PRONOSA #210,76.02,,,100,100,20,60
MICTERCHI,MICTERCHI,MICA TERMICA CHICA (100PZS 10 MIL),MICA TERMICA CHICA (100PZS 10 MIL),87.75,,,100,100,20,60
MUÑEL/M,MUÑEL/M,"MUÑEQUERA 4"" SF-022","MUÑEQUERA 4"" SF-022",14,,,100,100,20,60
NAVAJASHEET10-189,NAVAJASHEET10-189,NAVAJA SHEETROCKERA STANLEY  RETR.10-189C,NAVAJA SHEETROCKERA STANLEY  RETR.10-189C,64.36,,,100,100,20,60
NA10198,NA10198,NAVAJA SHEETROCKERA STANLEY RETRATIL 10-189 C,NAVAJA SHEETROCKERA STANLEY RETRATIL 10-189 C,64.36,,,100,100,20,60
NIP1X225MM,NIP1X225MM,NIPLE GALVANIZADO 1 X 2  25MM X 51MM,NIPLE GALVANIZADO 1 X 2  25MM X 51MM,9.27,,,100,100,20,60
NIPG1X9,NIPG1X9,NIPLE GALVANIZADO 1 X 3 25MM X 76MM,NIPLE GALVANIZADO 1 X 3 25MM X 76MM,10.51,,,100,100,20,60
NIP1XR,NIP1XR,NIPLE GALVANIZADO 1 X R.C 25MM Y RC,NIPLE GALVANIZADO 1 X R.C 25MM Y RC,7.59,,,100,100,20,60
OVEEXGBLAN,OVEEXGBLAN,OVEROL DESECHABLE EXTRAGRANDE BLANCO,OVEROL DESECHABLE EXTRAGRANDE BLANCO,40.14,,,100,100,20,60
OVERDESECHA,OVERDESECHA,OVEROL DESECHABLE GRANDE BLANCO,OVEROL DESECHABLE GRANDE BLANCO,40.14,,,100,100,20,60
PAPBONDBCO500,PAPBONDBCO500,PAPEL  BOND  BLANCO T/ CARTA  C 500,PAPEL  BOND  BLANCO T/ CARTA  C 500,73.74,,,100,100,20,60
PAPENEX,PAPENEX,PAPEL BOND MARCA NEXTEP PAQUETE,PAPEL BOND MARCA NEXTEP PAQUETE,73.74,,,100,100,20,60
PELICULA18X60X1300FT,PELICULA18X60X1300FT,PELICULA ESTIRABLE 18 X 60 X 1300FT,PELICULA ESTIRABLE 18 X 60 X 1300FT,76.3,,,100,100,20,60
PELI18X70X1500,PELI18X70X1500,PELICULA ESTIRABLE 18 X 70 X 1500 FT,PELICULA ESTIRABLE 18 X 70 X 1500 FT,124.6,,,100,100,20,60
PERILLARANAP/WC,PERILLARANAP/WC,PERILLA RANA P/WC KORKY USA,PERILLA RANA P/WC KORKY USA,65,,,100,100,20,60
PERR1/4,PERR1/4,PERRO P/VARILLA ROSCADA GALV. 1/4 X 3/4  USA,PERRO P/VARILLA ROSCADA GALV. 1/4 X 3/4  USA,17.97,,,100,100,20,60
PERR3/8X3/4,PERR3/8X3/4,"PERRO P/VARILLA ROSCADA GALV. 3/8 X ¾"" MA 34 38","PERRO P/VARILLA ROSCADA GALV. 3/8 X ¾"" MA 34 38",32.62,,,100,100,20,60
PIJSR61,PIJSR61,PIJA  PARA SHEETROCK 6X1STD #06621 PIEZA,PIJA  PARA SHEETROCK 6X1STD #06621 PIEZA,0.1,,,100,100,20,60
PIJA6X1STD,PIJA6X1STD,"PIJA P/SHEETROCK 6 X 1  STD #06621 CAJA 10,000 PZ (1 KG 630 PZ )","PIJA P/SHEETROCK 6 X 1  STD #06621 CAJA 10,000 PZ (1 KG 630 PZ )",0.1,,,100,100,20,60
PIJA8X3STD,PIJA8X3STD,"PIJA P/SHEETROCK 8 X 3  STD #06645 CAJA 2,000 PZ  (1 KG 212 PZ)  (FRTT1910)","PIJA P/SHEETROCK 8 X 3  STD #06645 CAJA 2,000 PZ  (1 KG 212 PZ)  (FRTT1910)",0.27,,,100,100,20,60
PIJBRO14X1,PIJBRO14X1,PIJA PTA/BROCA C/EMP 1/4 X 1  #06104,PIJA PTA/BROCA C/EMP 1/4 X 1  #06104,0.84,,,100,100,20,60
PIJAPT,PIJAPT,"PIJA PTA/BROCA C/EMP. 1/4"" X 1 1/2"" (CAJA 1500 PZ)","PIJA PTA/BROCA C/EMP. 1/4"" X 1 1/2"" (CAJA 1500 PZ)",0.6,,,100,100,20,60
PIJAP3/16,PIJAP3/16,PIJA PTA/BROCA C/EMP. 3/16 X 1 1/2 CAJA 2000PZ.,PIJA PTA/BROCA C/EMP. 3/16 X 1 1/2 CAJA 2000PZ.,0.52,,,100,100,20,60
PIPEM316,PIPEM316,PIJA PTA/BROCA C/EMP.3/16 X  1/2,PIJA PTA/BROCA C/EMP.3/16 X  1/2,0.66,,,100,100,20,60
PINZA61/4,PINZA61/4,PINZA CORTE DIAGONAL 6 1/4 C/RES 206GR URREA,PINZA CORTE DIAGONAL 6 1/4 C/RES 206GR URREA,202.54,,,100,100,20,60
PINZ89/32,PINZ89/32,PINZA D/ELECTRICISTA 8  9/32  #268GHL C/LAT. URREA,PINZA D/ELECTRICISTA 8  9/32  #268GHL C/LAT. URREA,320.26,,,100,100,20,60
PINZA/9/14,PINZA/9/14,PINZA D/ELECTRICISTA 9 1/4 #259GHL URREA,PINZA D/ELECTRICISTA 9 1/4 #259GHL URREA,514.11,,,100,100,20,60
PINZ661-162,PINZ661-162,"PINZA DE MECANICO 6"" VISE-GRIP IRWIN 61-162-032  2078406","PINZA DE MECANICO 6"" VISE-GRIP IRWIN 61-162-032  2078406",207.57,,,100,100,20,60
PINZAPCONICA170M,PINZAPCONICA170M,PINZA PUNTA CONICA C/RES 5 MOD. 170M URREA,PINZA PUNTA CONICA C/RES 5 MOD. 170M URREA,134.85,,,100,100,20,60
PINZAPLARGA65/8,PINZAPLARGA65/8,PINZA PUNTA LARGA CORTE LAT 6 5/8 226GR URREA,PINZA PUNTA LARGA CORTE LAT 6 5/8 226GR URREA,257.05,,,100,100,20,60
PIS/PEGPI,PIS/PEGPI,PISTOLA ELECTRICA DE PEGAMENTO PIPE-5/16 TRUPER,PISTOLA ELECTRICA DE PEGAMENTO PIPE-5/16 TRUPER,75.13,,,100,100,20,60
PIST4530,PIST4530,PISTOLA PARA SINCHO GREENLEE 45300,PISTOLA PARA SINCHO GREENLEE 45300,"2,040.59",,,100,100,20,60
BICPMAZUL,BICPMAZUL,PLUMA BIC  P.M  AZUL,PLUMA BIC  P.M  AZUL,3.03,,,100,100,20,60
BICPMNEGRO,BICPMNEGRO,PLUMA BIC P.M. NEGRO,PLUMA BIC P.M. NEGRO,3.03,,,100,100,20,60
MOUNTED14,MOUNTED14,PUNTA MONTADA 1/4 BOBS,PUNTA MONTADA 1/4 BOBS,58.74,,,100,100,20,60
PUMOZ611,PUMOZ611,PUNTA MONTADA AZUL 611,PUNTA MONTADA AZUL 611,68.73,,,100,100,20,60
MON516,MON516,PUNTA MONTADA BOBS 5/16,PUNTA MONTADA BOBS 5/16,69.35,,,100,100,20,60
REDBUH,REDBUH,"RED. BUSH PVC. C-40 51 MM X 25 MM 2"" X 1""","RED. BUSH PVC. C-40 51 MM X 25 MM 2"" X 1""",26.26,,,100,100,20,60
REDBUSH6MMX3M,REDBUSH6MMX3M,RED.BUSH.BRONCE    6MM X  3MM 1/4 X 1/8,RED.BUSH.BRONCE    6MM X  3MM 1/4 X 1/8,19.78,,,100,100,20,60
REDBU6MMX3MM 1/4,REDBU6MMX3MM 1/4,RED.BUSH.GALV.   6MM X 3MM  1/4 X 1/8,RED.BUSH.GALV.   6MM X 3MM  1/4 X 1/8,20.77,,,100,100,20,60
REDBUSH1/2X3/8,REDBUSH1/2X3/8,RED.BUSH.GALV.  13MM X 10MM 1/2 X 3/8,RED.BUSH.GALV.  13MM X 10MM 1/2 X 3/8,9.2,,,100,100,20,60
REDBUSH1X3/8,REDBUSH1X3/8,RED.BUSH.GALV.  25MM X 10MM  1 X 3/8,RED.BUSH.GALV.  25MM X 10MM  1 X 3/8,22.37,,,100,100,20,60
REDBUS1X1/2,REDBUS1X1/2,RED.BUSH.GALV.  25MM X 13MM 1X1/2,RED.BUSH.GALV.  25MM X 13MM 1X1/2,20.3,,,100,100,20,60
REDBUSH01,REDBUSH01,RED.BUSH.GALV. 25MM X 6MM 1 X 1/4,RED.BUSH.GALV. 25MM X 6MM 1 X 1/4,21.8,,,100,100,20,60
REDBUSHPVC51MM,REDBUSHPVC51MM,"RED.BUSH.PVC C-40  51MM X 38MM 2"" X 1 1/2""","RED.BUSH.PVC C-40  51MM X 38MM 2"" X 1 1/2""",19.57,,,100,100,20,60
REPOFF170,REPOFF170,REPELENTE DE INSECTOS CON AROMA OFF 170G,REPELENTE DE INSECTOS CON AROMA OFF 170G,81.94,,,100,100,20,60
REP/PNAVAJA,REP/PNAVAJA,REPUESTO P/NAVAJA SHEETROCK PUNTA REDONDA CAJA C/100PZ.,REPUESTO P/NAVAJA SHEETROCK PUNTA REDONDA CAJA C/100PZ.,482.38,,,100,100,20,60
REP/PNAVAJA,REP/PNAVAJA,REPUESTO P/NAVAJA SHEETROCK PUNTA REDONDA CAJA C/100PZ.,REPUESTO P/NAVAJA SHEETROCK PUNTA REDONDA CAJA C/100PZ.,482.38,,,100,100,20,60
REPRFEL,REPRFEL,REPUESTO P/RODILLO C/FELPA DE 3/8 X9 ECONO ROLL FEL19-BYP,REPUESTO P/RODILLO C/FELPA DE 3/8 X9 ECONO ROLL FEL19-BYP,16.93,,,100,100,20,60
RON4M1/4,RON4M1/4,RONDANA PLANA ACERO INOX  6MM 1/4,RONDANA PLANA ACERO INOX  6MM 1/4,0.36,,,100,100,20,60
ROND6.41/4,ROND6.41/4,"RONDANA PLANA GALV.  6.4mm 1/4"" 330 Pz. x KIL","RONDANA PLANA GALV.  6.4mm 1/4"" 330 Pz. x KIL",0.36,,,100,100,20,60
ROND12.71/2,ROND12.71/2,"RONDANA PLANA GALV. 12.7MM 1/2""","RONDANA PLANA GALV. 12.7MM 1/2""",1,,,100,100,20,60
RTN1316,RTN1316,RTN1315PUNTA DE BOQUILLA,RTN1315PUNTA DE BOQUILLA,433.8,,,100,100,20,60
RUE23,RUE23,RUEDA DE ESMERIL CLAVE 23 GRANO 60 AUSTROMEX,RUEDA DE ESMERIL CLAVE 23 GRANO 60 AUSTROMEX,373.95,,,100,100,20,60
SEGBIHE,SEGBIHE,SEGUETA 18 DTS. BIMETALICA 041812 HECORT,SEGUETA 18 DTS. BIMETALICA 041812 HECORT,11.91,,,100,100,20,60
SILIENBA01,SILIENBA01,SILICON EN BARRA 4X5/16 REP-PIPE-5/16 TRUPER PAQ.C/,SILICON EN BARRA 4X5/16 REP-PIPE-5/16 TRUPER PAQ.C/,26.8,,,100,100,20,60
SILIROJO280ML,SILIROJO280ML,SILICON PENS-SIL. IND. A.TEMP ROJO 280ML,SILICON PENS-SIL. IND. A.TEMP ROJO 280ML,83.69,,,100,100,20,60
SILIPEPE280,SILIPEPE280,SILICON PEPE  MULTI USOS TRANS 280ML,SILICON PEPE  MULTI USOS TRANS 280ML,48.27,,,100,100,20,60
SOLD6013,SOLD6013,SOLDADURA 6013  VERDE 1/8 KG.,SOLDADURA 6013  VERDE 1/8 KG.,53.26,,,100,100,20,60
SOL6013,SOL6013,SOLDADURA 6013 1/8,SOLDADURA 6013 1/8,53.26,,,100,100,20,60
SOPLSCIL,SOPLSCIL,SOPLETE PARA SILINDRO DESECHABLE MOD.902,SOPLETE PARA SILINDRO DESECHABLE MOD.902,178.93,,,100,100,20,60
SPRAYBYP,SPRAYBYP,SPRAY BYP ALUMINIO AAL,SPRAY BYP ALUMINIO AAL,43.23,,,100,100,20,60
SPRAYBYP,SPRAYBYP,SPRAY BYP AMARILLO AAO,SPRAY BYP AMARILLO AAO,43.23,,,100,100,20,60
SPRAGRS,SPRAGRS,SPRAY BYP GRIS MAQUINA AGR,SPRAY BYP GRIS MAQUINA AGR,30.48,,,100,100,20,60
SPRAYNMBYP,SPRAYNMBYP,SPRAY BYP NEGRO MATE  ANM,SPRAY BYP NEGRO MATE  ANM,34,,,100,100,20,60
SUJECAB4,SUJECAB4,"SUJETACABLE  4""","SUJETACABLE  4""",0.12,,,100,100,20,60
"SUJETA12""","SUJETA12""","SUJETACABLE 12""","SUJETACABLE 12""",0.72,,,100,100,20,60
"SUJE14""","SUJE14""","SUJETACABLE 14""","SUJETACABLE 14""",0.77,,,100,100,20,60
SUJETA8X.14,SUJETA8X.14,SUJETACABLE 8x .14,SUJETACABLE 8x .14,0.4,,,100,100,20,60
SWITCH,SWITCH,SWITCH DE PRESION SQD 9013FSG2J21,SWITCH DE PRESION SQD 9013FSG2J21,442.4,,,100,100,20,60
SWIT01,SWIT01,SWITCH PALANCA C/CABLES (COLA DE RATA) FU0128 FULGORE1706 MON,SWITCH PALANCA C/CABLES (COLA DE RATA) FU0128 FULGORE1706 MON,66.93,,,100,100,20,60
TANQGASP1,TANQGASP1,TANQUE DE GAS PROPANO 400 GMS. 14.10 OZ,TANQUE DE GAS PROPANO 400 GMS. 14.10 OZ,178.93,,,100,100,20,60
TAP2X4LH049973,TAP2X4LH049973,TAPA 2 X 4 P/CONTACTO L.A. METALICA  864  LH 049973,TAPA 2 X 4 P/CONTACTO L.A. METALICA  864  LH 049973,7.49,,,100,100,20,60
TAPA2X4CIEGA,TAPA2X4CIEGA,TAPA 2X4 CIEGA METALICA LH 049965,TAPA 2X4 CIEGA METALICA LH 049965,6.62,,,100,100,20,60
TAPONDLAM,TAPONDLAM,"TAPON DE LAMINA CONDUIT 13MM 1/2"" MULBERRY","TAPON DE LAMINA CONDUIT 13MM 1/2"" MULBERRY",15.41,,,100,100,20,60
TACON19MM,TACON19MM,"TAPON DE LAMINA CONDUIT 19MM 3/4"" MULBERRY","TAPON DE LAMINA CONDUIT 19MM 3/4"" MULBERRY",7.89,,,100,100,20,60
TAPLA25M,TAPLA25M,TAPON DE LAMINA CONDUIT 25MM   1 603.G.B,TAPON DE LAMINA CONDUIT 25MM   1 603.G.B,16.9,,,100,100,20,60
TEEGALC4025MM,TEEGALC4025MM,TEE GALVANIZADA C-40   25MM   1,TEE GALVANIZADA C-40   25MM   1,24.21,,,100,100,20,60
TEEGAL40119,TEEGAL40119,TEE GALVANIZADA C-40 19MM 3/4,TEE GALVANIZADA C-40 19MM 3/4,13.16,,,100,100,20,60
TEEPVCC-40,TEEPVCC-40,"TEE PVC C-40   51MM   2""","TEE PVC C-40   51MM   2""",37.89,,,100,100,20,60
TEEC-4013MM,TEEC-4013MM,TEE PVC C-40 13MM 1/2,TEE PVC C-40 13MM 1/2,39.44,,,100,100,20,60
TEEPVC80,TEEPVC80,TEE PVC C-80 25 MM 1,TEE PVC C-80 25 MM 1,35.54,,,100,100,20,60
TERMINALBRO,TERMINALBRO,TERMINAL P/BATERIA DE BRONCE,TERMINAL P/BATERIA DE BRONCE,15.57,,,100,100,20,60
THREAD,THREAD,"TORNILLO DE INSERCION ROSCADO DE BLOQUEO DE ACERO AL CARBONO PAQUETE DE 10 5/16""- 18X1/2","TORNILLO DE INSERCION ROSCADO DE BLOQUEO DE ACERO AL CARBONO PAQUETE DE 10 5/16""- 18X1/2",278.77,,,100,100,20,60
